,NEIGHBORHOOD,Total,Male,M 18-19,M 20-24,M 25-29,M 30-34,M 35-44,M 45-54,M 55-64,M 65-74,M 75-84,M 85+,Female,F 18-19,F 20-24,F 25-29,F 30-34,F 35-44,F 45-54,F 55-64,F 65-74,F 75-84,F 85+
0,Roslindale,166,0.56,0.139,0.0,0.0,0.0,0.0,0.06,0.042,0.018,0.0,0.0,0.446,0.0,0.0,0.0,0.157,0.181,0.06,0.0,0.006,0.0,0.0
1,Jamaica Plain,117,0.513,0.017,0.103,0.0,0.0,0.0,0.026,0.0,0.137,0.043,0.0,0.462,0.0,0.0,0.077,0.043,0.12,0.0,0.0,0.103,0.051,0.0
2,Mission Hill,45,0.244,0.0,0.044,0.0,0.0,0.022,0.0,0.0,0.0,0.178,0.0,0.8,0.0,0.0,0.044,0.0,0.0,0.0,0.2,0.111,0.0,0.0
3,Longwood,13,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Bay Village,0,,,,,,,,,,,,,,,,,,,,,,
5,Leather District,0,,,,,,,,,,,,,,,,,,,,,,
6,Chinatown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,North End,3,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Roxbury,112,0.518,0.062,0.054,0.0,0.0,0.045,0.089,0.036,0.107,0.0,0.0,0.473,0.009,0.134,0.0,0.116,0.0,0.08,0.0,0.08,0.0,0.0
9,South End,80,0.325,0.012,0.012,0.0,0.0,0.0,0.025,0.0,0.275,0.0,0.0,0.675,0.0,0.15,0.0,0.012,0.0,0.3,0.0,0.25,0.0,0.0
10,Back Bay,22,0.455,0.0,0.0,0.0,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.545,0.0,0.0,0.0,0.0,0.0,0.545,0.0,0.0,0.0,0.0
11,East Boston,259,0.591,0.0,0.181,0.0,0.0,0.139,0.023,0.0,0.0,0.0,0.0,0.421,0.0,0.0,0.05,0.0,0.077,0.039,0.0,0.0,0.0,0.0
12,Charlestown,0,,,,,,,,,,,,,,,,,,,,,,
13,West End,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Beacon Hill,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Downtown,15,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.667,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0
16,Fenway,44,0.705,0.0,0.0,0.0,0.0,0.159,0.545,0.0,0.0,0.0,0.0,0.295,0.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Brighton,135,0.689,0.0,0.0,0.059,0.0,0.193,0.23,0.0,0.141,0.0,0.0,0.289,0.0,0.0,0.044,0.0,0.0,0.0,0.096,0.148,0.0,0.0
18,West Roxbury,0,,,,,,,,,,,,,,,,,,,,,,
19,Hyde Park,241,0.627,0.0,0.295,0.025,0.0,0.0,0.195,0.004,0.046,0.0,0.0,0.378,0.0,0.0,0.0,0.0,0.062,0.162,0.0,0.041,0.046,0.0
20,Mattapan,47,0.106,0.064,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.894,0.0,0.149,0.298,0.0,0.0,0.17,0.298,0.0,0.0,0.0
21,Dorchester,742,0.349,0.0,0.028,0.061,0.03,0.0,0.011,0.04,0.005,0.0,0.0,0.654,0.009,0.119,0.084,0.043,0.049,0.171,0.034,0.007,0.0,0.0
22,South Boston Waterfront,8,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.125,0.0,0.0
23,South Boston,113,0.628,0.027,0.018,0.0,0.044,0.15,0.186,0.018,0.0,0.0,0.0,0.372,0.0,0.035,0.0,0.0,0.0,0.044,0.212,0.088,0.0,0.0
24,Allston,45,0.533,0.0,0.0,0.0,0.0,0.133,0.0,0.0,0.356,0.0,0.0,0.4,0.022,0.0,0.356,0.0,0.0,0.0,0.0,0.022,0.0,0.0
25,Harbor Islands,0,,,,,,,,,,,,,,,,,,,,,,
